"id","fdcId","nameRu","nameEn","wfpbStatus","createdAt","calories","protein","fat","carbohydrates","water","fiber","sugarTotal","sucrose","glucose","fructose","lactose","maltose","saturatedFat","monounsaturatedFat","polyunsaturatedFat","transFat","cholesterol","omega3","omega6","calcium","iron","magnesium","phosphorus","potassium","sodium","zinc","copper","manganese","selenium","vitaminC","thiamin","riboflavin","niacin","pantothenicAcid","vitaminB6","biotin","folate","vitaminB12","vitaminA","vitaminD","vitaminE","vitaminK","lysine","methionine","alanine","arginine","asparticAcid","betaCarotene","cystine","glutamicAcid","glycine","histidine","iodine","isoleucine","leucine","omega9","phenylalanine","proline","retinol","serine","threonine","tryptophan","tyrosine","valine","vitaminD2","vitaminD3"
"cms1h34vl0000un7l11g8tgjd","170393","морковь","carrots, raw","green","2026-07-26 07:24:41.457","41.0","0.93","0.24","9.58","88.29","2.8","4.74","3.59","0.59","0.55","0.0","0.0","0.032","0.012","0.102","0.0","0.0","0.0","0.202","33.0","0.3","12.0","35.0","320.0","69.0","0.24","0.045","0.143","0.1","5.9","0.066","0.058","0.983","0.273","0.138","0.0","19.0","0.0","835.0","0.0","0.66","13.2","0.101","0.02","0.113","0.091","0.19","8285.0","0.083","0.366","0.047","0.04","0.1","0.077","0.102","0.0","0.061","0.054","0.0","0.054","0.191","0.012","0.043","0.069","0.0","0.0"
"cms1h36wv0001un7luau1de4t","170000","лук","Onions, raw","green","2026-07-26 07:24:44.095","40.0","1.1","0.1","9.34","89.11","1.7","4.24","0.99","1.97","1.29","0.0","0.0","0.042","0.013","0.017","0.0","0.0","0.0","0.03","23.0","0.21","10.0","29.0","146.0","4.0","0.17","0.039","0.129","0.5","7.4","0.046","0.027","0.116","0.123","0.12","0.0","19.0","0.0","0.0","0.0","0.02","0.4","0.039","0.002","0.021","0.104","0.091","1.0","0.004","0.258","0.025","0.014","0.5","0.014","0.025","0.0","0.025","0.012","0.0","0.021","0.021","0.014","0.014","0.021","0.0","0.0"
"cms1h37dm0002un7l6koxhizm","172420","чечевица","lentils, raw","green","2026-07-26 07:24:44.698","352.0","24.63","1.06","63.35","8.26","10.7","2.03","1.47","0.0","0.27","0.0","0.3","0.154","0.193","0.526","0.0","0.0","0.0","0.94","35.0","6.51","47.0","281.0","677.0","6.0","3.27","0.754","1.393","0.1","4.5","0.873","0.211","2.605","2.14","0.54","0.0","479.0","0.0","2.0","0.0","0.49","5.0","1.72","0.21","1.029","1.903","2.725","23.0","0.322","3.819","1.002","0.693","0.1","1.065","1.786","0.0","1.215","1.029","0.0","1.136","0.882","0.221","0.658","1.223","0.0","0.0"
"cms1h38is0003un7l6oihjlcm","169977","светло-фиолетовая капуста","cabbage, red, raw","green","2026-07-26 07:24:46.181","31.0","1.43","0.16","7.37","90.39","2.1","3.83","0.6","1.74","1.48","0.0","0.0","0.021","0.012","0.08","0.0","0.0","0.001","0.114","45.0","0.8","16.0","30.0","243.0","27.0","0.22","0.017","0.243","0.6","57.0","0.064","0.069","0.418","0.147","0.209","0.0","18.0","0.0","56.0","0.0","0.11","38.2","0.049","0.014","0.048","0.083","0.136","670.0","0.012","0.329","0.034","0.024","0.6","0.034","0.046","0.0","0.036","0.054","0.0","0.059","0.039","0.012","0.022","0.048","0.0","0.0"
"cms1h393e0004un7l5wystcsc","2768189","микрозелень","microgreens, raw","green","2026-07-26 07:24:46.922","69.0","1.5","0.1","17.6","79.9","5.3","8.55","0.05","4.5","3.8","0.0","0.2","0.014","0.0","0.0","0.0","0.0","0.0","0.0","8.0","1.61","24.0","47.0","304.0","20.0","0.31","0.057","0.182","0.0","54.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1h3b9k0005un7l3oiipg6i","169225","огурец","cucumber, peeled, raw","green","2026-07-26 07:24:49.736","10.0","0.59","0.16","2.16","96.73","0.7","1.38","0.0","0.63","0.75","0.0","0.0","0.078","0.01","0.019","0.0","0.0","0.0","0.03","14.0","0.22","12.0","21.0","136.0","2.0","0.17","0.071","0.073","0.1","3.2","0.031","0.025","0.037","0.24","0.051","0.0","14.0","0.0","4.0","0.0","0.03","7.2","0.025","0.012","0.031","0.031","0.037","31.0","0.007","0.204","0.025","0.002","0.1","0.012","0.025","0.0","0.031","0.012","0.0","0.025","0.012","0.007","0.002","0.012","0.0","0.0"
"cms1h3bgc0006un7l7x249tuf","169249","салат","lettuce, green, raw","green","2026-07-26 07:24:49.98","15.0","1.36","0.15","2.87","94.98","1.3","0.78","0.0","0.36","0.43","0.0","0.0","0.02","0.006","0.082","0.0","0.0","0.0","0.10600000000000001","36.0","0.86","13.0","29.0","194.0","28.0","0.18","0.029","0.25","0.6","9.2","0.07","0.08","0.375","0.134","0.09","0.0","38.0","0.0","370.0","0.0","0.22","126.3","0.084","0.016","0.056","0.071","0.142","4443.0","0.016","0.182","0.057","0.022","0.6","0.084","0.079","0.0","0.055","0.048","0.0","0.039","0.059","0.009","0.032","0.07","0.0","0.0"
"cms1h3drd0007un7llhfaq8yb","169291","кабачок","Squash, summer, zucchini, includes skin, raw","green","2026-07-26 07:24:52.969","17.0","1.21","0.32","3.11","94.79","1.0","2.5","0.05","1.07","1.38","0.0","0.0","0.084","0.011","0.091","0.0","0.0","0.061","0.121","16.0","0.37","18.0","38.0","261.0","8.0","0.32","0.053","0.177","0.2","17.9","0.045","0.094","0.451","0.204","0.163","0.0","24.0","0.0","10.0","0.0","0.12","4.3","0.067","0.018","0.063","0.051","0.147","120.0","0.012","0.129","0.046","0.026","0.2","0.044","0.071","0.0","0.043","0.037","0.0","0.049","0.029","0.01","0.032","0.054","0.0","0.0"
"cms1h3fcr0008un7lh0op8ah8","171705","авокадо","Avocados, raw, all commercial varieties","green","2026-07-26 07:24:55.036","160.0","2.0","14.66","8.53","73.23","6.7","0.66","0.06","0.37","0.12","0.0","0.0","2.126","9.799","1.816","0.0","0.0","0.111","3.473","12.0","0.55","29.0","52.0","485.0","7.0","0.64","0.19","0.142","0.4","10.0","0.067","0.13","1.738","1.389","0.257","0.0","81.0","0.0","7.0","0.0","2.07","21.0","0.132","0.038","0.109","0.088","0.236","62.0","0.027","0.287","0.104","0.049","0.4","0.084","0.143","0.0","0.097","0.098","0.0","0.114","0.073","0.025","0.049","0.107","0.0","0.0"
"cms1h3grd0009un7lcfau25pf","170457","помидор","tomatoes, red, ripe, raw, year round average","green","2026-07-26 07:24:56.858","18.0","0.88","0.2","3.89","94.52","1.2","2.63","0.0","1.25","1.37","0.0","0.0","0.028","0.031","0.083","0.0","0.0","0.0","0.163","10.0","0.27","11.0","24.0","237.0","5.0","0.17","0.059","0.114","0.0","13.7","0.037","0.019","0.594","0.089","0.08","0.0","15.0","0.0","42.0","0.0","0.54","7.9","0.027","0.006","0.027","0.021","0.135","449.0","0.009","0.431","0.019","0.014","0.0","0.018","0.025","0.0","0.027","0.015","0.0","0.026","0.027","0.006","0.014","0.018","0.0","0.0"
